City,Month,Day,Year,AvgTemperature
Brisbane,2,27,1997,74.4
Brisbane,2,28,1997,74.8
Brisbane,3,1,1997,75.7
Brisbane,3,2,1997,74.6
Brisbane,3,3,1997,77.2
Brisbane,3,4,1997,78.4
Brisbane,3,5,1997,76.7
Brisbane,3,6,1997,77.4
Brisbane,3,7,1997,75.2
Brisbane,3,8,1997,74.2
Brisbane,3,9,1997,75.5
Brisbane,3,10,1997,72.1
Brisbane,3,11,1997,72.7
Brisbane,3,12,1997,72.3
Brisbane,3,13,1997,72.3
Brisbane,3,14,1997,71.6
Brisbane,3,15,1997,71.8
Brisbane,3,16,1997,73.2
Brisbane,3,17,1997,73.2
Brisbane,3,18,1997,73.4
Brisbane,3,19,1997,72.7
Brisbane,3,20,1997,74.5
Brisbane,3,21,1997,78.6
Brisbane,3,22,1997,76.1
Brisbane,3,23,1997,73.7
Brisbane,3,24,1997,74.9
Brisbane,3,25,1997,73.8
Brisbane,3,26,1997,68.9
Brisbane,3,27,1997,70.4
Brisbane,3,28,1997,72.8
Brisbane,3,29,1997,71.1
Brisbane,3,30,1997,71.6
Brisbane,3,31,1997,67.1
Brisbane,4,1,1997,70.8
